Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,buyDrink
1,1,1,2,1,1,1,5,2,2,1,4,0,1,2,1,1,4,5,2,0,1,38,62,63,1275,0,0,1,3,53,182,51,25,60,7,0,0,1,1
3,1,0,22,0,1,0,0,0,2,2,8,0,1,2,0,0,11,7,2,0,2,37,54,53,1091,0,0,1,3,36,162,51,25,67,0,13,0,1,1
2,1,0,16,0,1,0,0,0,9,1,8,0,1,0,3,0,25,10,0,5,2,65,111,62,783,0,0,1,3,98,143,59,47,4,903,26,7,0,1
2,0,2,39,1,3,1,8,0,0,0,3,1,0,0,2,1,25,0,0,3,0,86,120,44,298,0,0,1,3,114,41,34,25,98,753,21,6,1,1
1,1,0,13,1,1,1,2,0,0,1,6,1,1,1,3,1,35,5,2,4,2,66,113,63,788,0,0,1,3,31,356,51,25,88,433,11,3,1,1
0,0,1,15,0,3,1,9,1,11,0,8,0,1,0,1,1,42,12,2,2,0,86,131,54,421,0,0,1,3,112,288,51,25,88,809,23,6,1,1
0,1,1,36,1,4,2,0,0,5,1,12,0,1,1,1,0,35,11,1,5,3,36,52,55,1150,0,0,1,3,19,28,52,25,87,0,13,0,1,1
0,1,1,17,0,2,0,1,1,1,1,1,0,1,3,2,0,4,1,2,2,0,63,99,54,698,0,0,1,3,128,190,45,25,97,444,11,3,1,1
1,1,2,40,1,3,1,0,0,3,0,9,1,1,2,1,0,16,0,0,6,3,39,64,62,1212,0,0,1,3,45,347,51,25,61,0,13,0,1,1
0,0,0,10,0,3,0,7,0,6,0,0,1,0,1,3,0,11,8,2,4,0,21,21,54,1462,0,0,1,6,181,304,51,42,3,720,20,6,0,1
2,1,2,28,0,1,0,1,3,2,1,6,1,2,1,3,0,41,7,2,2,3,49,77,55,880,0,0,1,3,87,85,51,32,13,0,13,0,0,1
2,1,0,22,0,2,0,2,1,9,1,4,1,0,2,1,1,31,8,1,1,0,105,146,44,139,0,0,1,3,39,42,51,25,88,950,28,8,1,1
1,0,2,1,0,1,1,8,1,11,0,1,1,0,2,2,1,48,3,0,6,3,47,72,53,898,0,0,1,3,40,333,51,25,61,0,13,0,1,0
3,0,0,28,1,3,0,7,0,9,0,9,1,0,0,2,1,31,13,2,6,2,37,42,25,630,0,0,1,3,42,7,51,25,79,0,13,0,1,1
2,0,0,24,0,2,1,3,1,8,1,12,1,0,2,2,1,37,14,0,2,0,94,142,54,337,0,0,1,3,128,217,51,25,87,362,9,3,1,1
0,1,1,29,0,4,1,6,1,10,0,2,0,1,3,1,0,37,7,2,0,2,25,25,43,1134,0,0,1,3,80,112,51,25,77,0,13,0,1,1
0,0,1,12,0,3,0,10,2,4,0,8,1,0,1,0,0,48,6,0,4,2,26,26,52,1315,0,0,1,3,18,72,51,25,79,0,13,0,1,1
2,0,2,19,0,0,0,1,0,1,1,6,1,0,1,3,1,12,9,2,1,1,45,69,54,974,0,0,1,3,43,358,51,19,80,0,13,0,1,1
2,2,0,33,2,1,0,11,0,0,1,5,0,1,3,0,2,34,9,1,2,0,67,105,53,631,0,0,1,3,75,162,51,25,88,556,15,4,1,1
0,0,0,22,0,2,1,4,0,11,1,14,1,1,2,1,0,10,9,0,1,2,8,8,32,1281,0,0,1,3,42,336,51,25,51,121,2,0,1,1
1,0,1,26,1,0,0,11,1,10,2,9,1,0,0,3,1,46,3,1,5,2,15,15,49,1519,0,0,1,3,9,6,50,25,44,349,9,2,1,0
3,0,1,32,1,4,1,10,1,1,1,11,1,0,3,2,0,44,2,2,2,2,46,78,63,1122,0,0,1,3,27,281,51,25,70,413,10,3,1,1
2,1,2,34,0,1,0,10,0,9,1,11,1,1,1,1,0,21,9,1,3,2,15,15,44,1384,0,0,1,3,36,48,51,24,88,265,6,2,1,1
2,0,2,28,0,4,0,5,2,1,0,0,1,1,2,2,1,16,0,1,5,1,73,114,54,578,0,0,1,3,105,269,21,25,98,259,6,2,1,1
4,0,2,36,1,4,0,8,0,12,1,0,0,1,2,0,0,27,7,2,2,1,64,112,64,822,0,0,1,3,113,142,14,2,4,346,9,2,1,0
2,0,1,23,1,0,1,7,1,3,0,6,1,1,2,0,0,44,9,1,0,0,51,88,63,996,0,0,1,3,146,337,51,41,18,660,18,5,0,0
2,0,1,2,0,3,1,1,2,8,1,6,1,0,3,1,0,17,3,0,1,2,18,18,53,1539,0,0,1,3,16,361,51,25,61,0,13,0,1,1
0,0,2,28,1,1,0,5,2,11,1,6,1,1,3,1,1,35,10,2,2,1,85,133,55,439,0,0,1,3,73,313,9,25,97,351,9,2,1,1
3,0,1,20,0,1,0,1,3,12,1,12,1,1,0,3,0,22,11,2,1,1,46,71,55,961,11,1,0,3,75,361,42,27,88,0,13,0,3,0
2,0,1,29,0,1,0,0,0,0,1,7,1,0,1,0,2,35,8,1,2,2,75,115,53,550,0,0,1,3,67,150,52,25,92,450,12,3,1,1
3,1,0,24,1,4,1,4,0,6,1,7,1,1,0,1,0,2,12,2,5,1,73,114,54,572,0,0,1,3,106,269,21,25,98,253,6,2,1,1
3,1,1,23,1,2,0,1,1,3,0,5,0,0,2,3,1,1,1,1,4,2,44,61,43,799,0,0,1,3,34,193,51,25,88,492,13,4,1,1
4,0,0,22,1,2,0,10,0,5,0,14,0,0,1,3,1,6,0,2,1,1,77,117,52,482,0,0,1,3,91,25,51,25,88,4,0,0,1,1
1,1,0,25,1,1,0,0,2,6,0,3,1,0,1,0,1,1,5,1,6,0,105,143,40,114,0,0,1,3,58,154,29,22,98,861,24,7,1,1
0,1,1,41,0,3,1,7,0,3,0,8,0,0,3,3,1,45,6,2,3,3,7,7,43,1626,0,0,1,3,36,128,51,25,78,0,13,0,1,1
0,2,1,22,1,0,2,5,1,8,1,12,1,2,0,2,0,33,5,2,3,2,27,27,53,1329,0,0,1,3,36,169,51,25,87,0,13,0,1,1
1,0,2,35,1,4,0,5,0,9,0,11,1,1,3,0,2,45,9,1,0,2,67,103,51,603,0,0,1,3,54,130,64,24,88,935,27,8,1,1
3,0,0,4,0,0,0,1,1,7,1,1,1,0,1,1,0,25,2,0,0,2,17,17,51,1511,0,0,1,3,16,25,51,19,56,0,13,0,1,1
3,1,0,32,0,1,0,1,0,0,2,0,0,1,0,0,1,42,14,1,2,3,43,64,51,935,0,0,1,3,40,66,51,32,13,0,13,0,0,1
3,0,0,8,1,0,2,3,2,8,2,12,0,0,3,0,0,40,13,0,3,2,14,14,50,1581,0,0,1,3,12,361,51,25,68,0,13,0,1,1
3,1,2,37,2,1,1,7,1,10,1,2,1,1,3,0,0,44,6,1,5,1,23,23,53,1426,0,0,1,3,76,59,27,25,53,195,4,1,1,1
1,1,1,24,0,2,0,8,2,2,1,3,0,0,0,2,1,3,3,0,1,0,107,122,21,31,0,0,1,3,155,73,52,13,122,631,17,5,1,0
1,0,1,35,1,4,0,4,1,10,0,0,0,0,3,1,0,7,14,0,5,0,97,131,41,171,0,0,1,3,42,234,42,25,112,967,28,8,1,1
3,0,2,16,1,2,1,6,2,1,0,5,1,1,0,0,0,36,4,0,0,1,18,18,53,1557,0,0,1,3,37,148,51,25,87,0,13,0,1,1
2,0,2,13,0,4,0,7,0,4,1,0,1,2,2,2,1,29,6,0,1,2,27,27,53,1316,0,0,1,3,18,90,51,25,68,0,13,0,1,1
2,1,0,20,1,4,0,8,0,3,1,5,0,1,0,3,2,2,8,0,2,2,18,18,44,1320,0,0,1,3,18,101,41,25,88,182,4,1,1,1
1,1,2,2,0,3,1,6,0,6,1,2,0,1,3,0,1,27,1,2,6,2,57,81,44,652,0,0,1,3,56,160,51,25,88,670,18,5,1,1
3,0,1,9,0,3,1,1,0,9,1,2,1,0,3,2,0,36,1,0,5,1,58,83,44,615,0,0,1,3,26,118,43,25,88,0,13,0,1,1
2,1,0,34,0,2,1,9,2,6,2,2,1,0,2,2,0,13,7,1,0,0,88,133,52,358,0,0,1,3,82,146,36,25,88,987,30,8,1,0
3,1,0,11,1,1,0,6,1,0,1,11,0,0,1,2,1,1,0,1,4,2,56,66,25,377,0,0,1,3,19,337,51,25,88,800,23,6,1,1
3,1,2,30,0,2,1,6,0,9,0,3,1,0,3,0,1,31,12,0,5,2,28,28,50,1195,0,0,1,3,15,12,60,25,70,0,13,0,1,1
3,0,2,20,1,4,0,4,1,0,0,0,0,2,3,1,1,45,12,2,6,1,65,121,71,913,16,1,0,3,73,321,25,25,61,0,13,0,3,1
3,0,0,24,0,0,0,0,2,4,0,4,0,0,2,0,0,33,4,1,1,2,66,103,53,654,0,0,1,3,19,2,51,25,88,712,19,5,1,0
0,1,2,35,2,0,0,1,3,0,1,8,0,0,3,0,1,6,3,1,2,0,87,132,53,391,0,0,1,3,76,170,51,46,4,683,18,5,0,1
2,0,2,17,0,4,0,0,1,5,0,13,0,0,3,1,1,4,14,2,3,2,87,73,2,4,0,0,1,3,135,49,51,25,88,1087,36,10,1,0
0,0,0,23,0,1,0,3,0,8,1,13,1,0,1,0,0,25,13,1,3,1,53,92,64,990,1,1,0,3,106,313,34,36,79,0,13,0,2,1
2,1,1,9,0,3,0,4,2,5,1,1,0,1,1,3,0,29,12,1,5,1,22,22,53,1431,0,0,1,3,76,61,27,25,52,235,6,2,1,1
2,1,2,35,0,1,0,11,0,2,2,15,1,1,2,0,0,23,5,0,1,3,44,75,64,1163,0,0,1,3,74,10,40,25,87,0,13,0,1,0
1,0,0,26,0,3,0,9,1,1,1,13,1,1,2,3,0,40,0,1,4,3,38,61,63,1301,0,0,1,3,4,11,51,25,51,0,13,0,1,1
3,0,0,0,1,0,1,0,0,3,0,10,1,1,3,2,0,12,6,2,3,1,9,9,50,1661,106,1,0,3,17,313,59,25,65,0,13,0,3,0
2,1,2,39,1,0,0,7,0,11,2,8,0,0,3,3,1,47,13,1,5,0,97,146,53,280,0,0,1,3,63,138,51,25,88,1059,33,9,1,1
1,1,0,39,0,0,0,6,2,11,1,0,1,1,0,1,0,39,6,2,2,3,18,18,53,1539,0,0,1,3,25,70,51,25,53,0,13,0,1,1
1,0,0,22,1,0,1,10,0,0,0,4,0,1,0,3,0,28,14,0,3,2,57,89,53,757,0,0,1,3,54,139,51,25,88,787,22,6,1,1
3,0,1,31,0,1,1,6,2,6,1,8,0,1,1,0,0,34,6,1,4,1,66,86,34,404,0,0,1,3,91,203,51,25,88,4,0,0,1,1
3,0,1,27,0,2,1,2,2,6,0,8,1,0,3,1,1,47,1,2,5,0,76,124,59,597,0,0,1,3,112,238,27,25,98,355,9,2,1,0
0,0,2,5,1,1,1,1,1,1,1,7,0,1,2,2,0,16,2,1,1,2,15,15,34,1137,0,0,1,3,40,318,62,25,51,0,13,0,1,0
3,1,0,40,0,2,1,10,2,8,0,5,0,1,3,2,0,35,6,1,0,0,63,90,44,564,29,1,0,3,33,313,76,25,111,778,22,6,3,1
0,1,0,23,0,0,1,2,1,2,0,1,1,0,2,3,0,21,7,0,0,2,46,45,11,266,0,0,1,3,117,50,51,25,88,0,13,0,1,1
0,1,2,35,0,4,0,5,1,0,1,9,0,1,1,1,0,39,5,2,2,0,68,115,62,725,0,0,1,3,139,223,51,25,88,650,18,5,1,1
3,0,1,27,1,2,0,2,0,0,1,5,0,2,2,2,0,2,10,2,3,2,57,98,63,911,0,0,1,3,37,322,51,25,88,621,17,5,1,1
1,0,2,31,0,1,2,0,3,0,0,15,0,1,1,1,0,42,7,1,1,1,53,102,73,1177,0,0,1,3,40,6,51,25,88,6,0,0,1,1
1,1,0,2,0,0,0,5,0,5,0,8,0,1,1,2,1,29,4,1,3,2,16,16,53,1624,0,0,1,3,18,312,51,25,78,0,13,0,1,1
3,1,0,27,1,2,1,2,1,0,1,7,1,1,3,0,1,37,6,1,6,0,50,73,45,731,0,0,1,3,128,142,51,25,70,391,10,3,1,1
2,0,1,35,1,1,0,4,2,0,0,3,1,0,0,3,0,33,12,1,1,0,94,141,53,329,0,0,1,3,172,248,51,25,88,435,11,3,1,1
1,1,1,21,0,1,0,1,0,0,1,15,0,2,0,1,0,32,10,1,5,0,67,120,67,818,0,0,1,3,62,166,51,47,2,508,14,4,0,1
2,1,1,37,0,1,0,11,1,2,2,0,0,1,3,1,0,7,11,0,2,3,36,52,54,1130,0,0,1,3,53,74,61,25,87,0,13,0,1,1
0,0,2,9,1,3,1,3,0,2,0,0,0,0,2,3,0,31,3,1,2,0,96,146,54,311,0,0,1,3,38,334,51,25,88,716,20,5,1,0
0,0,1,24,0,1,0,10,1,9,0,11,0,1,2,1,0,47,6,2,6,3,39,63,62,1225,0,0,1,3,44,345,51,25,61,0,13,0,1,1
0,1,1,28,1,0,0,10,0,3,1,11,1,0,2,0,1,34,12,2,3,2,18,18,53,1557,0,0,1,3,6,3,51,25,69,0,13,0,1,1
3,0,1,27,0,1,1,9,3,3,0,2,0,1,1,2,0,46,3,1,1,1,76,143,73,784,0,0,1,3,92,260,51,25,88,158,3,1,1,1
0,0,2,31,0,0,0,4,0,3,0,2,0,1,2,0,1,49,0,2,5,2,18,18,51,1461,0,0,1,3,19,350,55,23,49,287,7,2,1,1
3,0,0,37,1,5,0,1,2,12,0,9,0,1,3,0,2,37,9,0,5,2,65,111,62,783,0,0,1,3,111,161,57,47,4,813,23,6,0,1
1,1,2,4,1,0,1,9,1,11,0,12,1,1,1,0,0,42,5,2,2,1,18,18,53,1527,0,0,1,3,22,111,51,25,79,2,0,0,1,1
1,0,1,0,1,2,0,10,2,1,1,10,0,0,2,2,0,4,0,1,5,2,79,120,52,458,0,0,1,3,38,347,57,21,97,942,27,8,1,0
1,1,2,18,1,2,0,2,1,0,1,7,1,1,1,3,1,20,7,0,2,1,36,60,72,1589,0,0,1,3,37,1,51,25,86,79,1,0,1,1
2,0,1,11,0,0,1,6,0,9,1,10,1,0,3,2,1,5,14,0,0,0,86,111,34,190,0,0,1,3,146,249,51,25,88,735,20,6,1,1
3,0,1,22,1,2,1,2,1,1,1,5,0,0,3,3,1,11,5,2,6,2,18,18,62,1672,0,0,1,3,1,16,51,25,50,0,13,0,1,1
3,0,0,2,0,0,1,2,0,12,0,5,1,1,3,2,2,23,10,2,1,2,34,34,60,1324,0,0,1,3,18,45,51,25,88,564,15,4,1,1
2,0,3,28,0,2,0,5,2,10,1,13,1,1,3,3,0,9,13,0,1,2,68,81,25,248,0,0,1,3,59,295,96,25,97,1067,34,9,1,1
3,1,2,10,2,2,0,9,0,10,1,0,1,1,0,0,1,1,2,2,6,2,67,115,63,774,0,0,1,3,53,63,51,25,88,608,16,5,1,1
3,0,0,1,1,1,0,10,0,10,1,0,0,1,0,3,1,35,12,2,3,0,76,118,53,524,0,0,1,3,110,254,53,25,98,686,19,5,1,1
0,0,2,33,0,0,0,3,2,11,1,10,1,1,2,2,0,17,6,1,5,2,44,54,31,641,0,0,1,3,74,63,47,25,70,0,13,0,1,1
1,0,0,30,0,4,2,3,3,5,1,4,1,0,1,2,0,20,8,1,4,1,42,65,54,993,0,0,1,3,93,219,17,25,81,461,12,3,1,1
3,1,1,11,0,2,1,8,2,4,0,13,0,0,1,1,0,38,10,1,5,2,8,8,43,1579,0,0,1,3,18,316,51,25,68,39,1,0,1,1
4,1,0,35,0,1,0,8,0,2,1,7,1,1,0,2,1,28,7,2,3,2,27,27,53,1316,0,0,1,3,47,265,51,25,65,0,13,0,1,1
0,1,2,3,0,3,0,4,2,4,1,12,1,0,1,0,1,29,1,1,2,2,9,9,42,1527,0,0,1,3,17,48,69,25,87,0,13,0,1,1
1,1,0,4,1,3,0,2,0,5,1,6,0,1,2,0,0,13,0,1,5,3,29,29,63,1507,0,0,1,3,38,309,51,25,79,0,13,0,1,1
1,1,2,31,1,2,1,5,1,3,0,10,1,1,1,1,0,44,9,2,6,2,28,28,61,1487,0,0,1,3,21,289,66,25,51,139,2,1,1,1
3,0,1,17,0,0,0,5,0,9,1,5,0,1,3,3,0,27,12,0,5,1,55,94,63,955,0,0,1,3,76,272,46,25,88,0,13,0,1,1
0,0,2,12,0,1,0,10,2,9,1,2,0,0,0,2,0,9,13,1,5,2,26,26,53,1350,0,0,1,3,54,97,51,25,87,354,9,2,1,0
1,0,0,26,1,2,0,1,0,6,1,13,0,0,0,1,1,35,14,2,4,0,97,147,54,291,0,0,1,3,54,280,51,25,88,1035,32,9,1,1
