Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,buyDrink,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58.0,11.0,2.0,Tuesday,Afternoon,1,30.0,36.7,25.4,76.36,0.0,0.0,,31.7,6.2,164.0,1011.4,100.0,0.6,380.4,1.4,4.0,Overcast
chinese,male,thin,46.0,no,no_kids,big,red,,purple,short_sleeve,black,,clothes,4,7,no,56.0,15.0,2.0,Tuesday,Afternoon,1,30.0,37.2,25.8,78.29,0.0,0.0,,31.7,4.3,188.0,1007.4,100.0,0.6,192.3,0.7,2.0,Overcast
malay,female,thin,46.0,no,no_kids,small,white,casual,white,,grey,,,6,10,no,16.0,20.0,1.0,Tuesday,Evening,1,29.0,35.7,26.0,83.7,0.0,0.0,,31.7,3.7,199.0,1011.4,99.8,1.0,48.8,0.2,0.0,Overcast
malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes,41.0,17.0,2.0,Tuesday,Evening,1,29.0,35.6,26.0,83.9,0.0,0.0,,31.7,3.7,160.0,1011.4,99.8,1.0,0.8,0.0,0.0,Overcast
chinese,female,thin,35.0,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,9.0,2.0,Tuesday,Evening,1,29.0,35.6,26.0,83.9,0.0,0.0,,31.7,4.3,164.0,1011.4,100.0,0.6,0.7,0.0,0.0,Overcast
malay,female,,41.0,no,,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38.0,9.0,3.0,Tuesday,Evening,1,29.0,35.6,26.0,83.9,0.0,0.0,,31.7,4.3,164.0,1011.4,100.0,0.6,0.7,0.0,0.0,Overcast
malay,female,fat,31.0,,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51.0,18.0,2.0,Tuesday,Evening,1,29.0,35.6,26.0,83.9,0.0,0.0,,31.7,3.7,160.0,1011.4,99.8,1.0,0.8,0.0,0.0,Overcast
malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,,23.0,18.0,3.0,Tuesday,Evening,1,29.0,35.6,26.0,83.9,0.0,0.0,,31.7,3.7,160.0,1011.4,99.8,1.0,0.8,0.0,0.0,Overcast
malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,,4,8,no,37.0,12.0,1.0,Tuesday,Evening,1,28.2,33.5,25.4,84.67,0.0,0.0,,31.7,2.2,122.0,1009.2,100.0,0.6,0.0,1.3,0.0,Overcast
malay,,,33.0,no,,big,,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15.0,14.0,1.0,Tuesday,Evening,0,27.9,32.7,25.2,84.99,0.0,0.0,,31.7,3.5,158.0,1009.0,99.8,1.0,0.0,1.3,0.0,Overcast
malay,,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60.0,18.0,2.0,Tuesday,Evening,1,27.9,32.7,25.2,84.99,0.0,0.0,,31.7,3.5,158.0,1009.0,99.8,1.0,0.0,1.3,0.0,Overcast
foreigner ,female,moderate,46.0,no,no_kids,,,formal,grey,long sleeve,black,long,blankets,3,7,no,53.0,11.0,1.0,Tuesday,Evening,1,28.2,33.5,25.4,84.67,0.0,0.0,,31.7,2.2,122.0,1009.2,100.0,0.6,0.0,1.3,0.0,Overcast
,female,moderate,51.0,no,no_kids,big,,casual,red,long sleeve,red,long,clothes,6,8,no,35.0,21.0,2.0,Tuesday,Evening,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.2,89.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,male,fat,40.0,no,no_kids,big,,casual,red,short_sleeve,black,short,clothes,5,7,no,50.0,14.0,1.0,Tuesday,Evening,1,28.0,33.0,25.4,85.73,0.0,0.0,,31.7,3.3,68.0,1011.4,91.6,1.2,0.0,1.3,0.0,Overcast
malay,,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39.0,11.0,1.0,Tuesday,Evening,1,28.0,33.0,25.4,85.73,0.0,0.0,,31.7,3.3,68.0,1011.4,91.6,1.2,0.0,1.3,0.0,Overcast
indian,male,moderate,49.0,no,no_kids,big,red,casual,,short_sleeve,,short,clothes,4,8,no,31.0,14.0,3.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,male,fat,48.0,no,no_kids,big,red,,black,short_sleeve,blue,short,clothes,5,10,,32.0,11.0,2.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
,female,fat,40.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24.0,16.0,2.0,Tuesday,Night,1,28.0,33.0,25.4,85.73,0.0,0.0,,31.7,3.3,68.0,1011.4,91.6,1.2,0.0,1.3,0.0,Overcast
indian,female,fat,42.0,no,no_kids,,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,15.0,3.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,,black,long,clothes,3,9,no,20.0,16.0,3.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
foreigner ,male,,38.0,no,,big,,casual,,short_sleeve,black,long,clothes,3,8,no,40.0,14.0,1.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
chinese,female,thin,39.0,,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15.0,13.0,3.0,Tuesday,Night,1,27.0,30.1,24.0,83.57499999999999,0.0,0.0,,31.7,4.5,170.0,1011.4,89.0,9.1,0.8,1.3,0.0,
malay,,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43.0,16.0,3.0,Tuesday,Night,1,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
malay,male,thin,29.0,yes,toddler,big,black,,white,short_sleeve,blue_jeans,long,clothes,3,10,,31.0,18.0,1.0,Tuesday,Night,0,28.0,33.0,25.4,85.73,0.0,0.0,,31.7,4.0,44.0,1011.4,91.6,1.2,0.0,1.3,0.0,Overcast
indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,11.0,3.0,Tuesday,Night,0,28.0,32.7,25.0,83.93,0.0,0.0,,31.7,5.3,87.0,1011.4,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,female,fat,29.0,yes,young,small,white,,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,21.0,1.0,Tuesday,Night,1,28.0,33.0,25.4,85.73,0.0,0.0,,31.7,4.0,44.0,1011.4,91.6,1.2,0.0,1.3,0.0,Overcast
malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,14.0,1.0,Tuesday,Night,0,27.0,30.6,24.8,87.62,0.0,0.0,,31.7,1.8,29.0,1010.9,89.1,2.0,0.0,1.3,0.0,Partially cloudy
malay,,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,,3,9,no,33.0,15.0,2.0,Tuesday,Night,1,27.0,30.6,24.8,87.62,0.0,0.0,,31.7,1.8,29.0,1010.9,89.1,2.0,0.0,1.3,0.0,Partially cloudy
malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60.0,16.0,2.0,Tuesday,Night,1,27.0,30.6,24.9,88.34,0.0,0.0,,31.7,1.8,18.0,1011.1,91.6,1.2,0.0,1.3,0.0,Overcast
indian,female,moderate,55.0,,baby,,white,,blue,short_sleeve,brown,short,clothes,3,9,no,60.0,14.0,1.0,Tuesday,Night,1,27.0,30.6,24.8,87.62,0.0,0.0,,31.7,1.8,29.0,1010.9,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,male,thin,33.0,no,no_kids,small,,casual,white,short_sleeve,black,long,,5,10,no,27.0,8.0,3.0,Tuesday,Night,0,27.0,30.6,24.8,87.62,0.0,0.0,,31.7,1.8,29.0,1010.9,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,49.0,,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38.0,21.0,2.0,Tuesday,Night,1,27.0,30.6,24.9,88.34,0.0,0.0,,31.7,1.8,18.0,1011.1,91.6,1.2,0.0,1.3,0.0,Overcast
malay,male,thin,42.0,no,no_kids,,red,casual,brown,long sleeve,,long,blankets,4,8,,24.0,19.0,2.0,Tuesday,Night,1,27.0,30.6,24.8,87.62,0.0,0.0,,31.7,1.8,29.0,1010.9,89.1,2.0,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26.0,16.0,2.0,Tuesday,Morning,1,27.0,30.1,24.0,83.87,0.0,0.0,,31.7,3.7,291.0,1011.4,89.1,3.0,0.0,1.3,0.0,Partially cloudy
indian,,thin,30.0,no,no_kids,,white,casual,black,short_sleeve,white,short,clothes,6,7,no,13.0,13.0,2.0,Wednesday,Morning,1,26.0,26.0,24.1,88.9,0.0,0.0,,31.7,3.5,39.0,1009.8,89.1,2.0,0.0,1.3,0.0,Partially cloudy
indian,,fat,44.0,no,no_kids,small,blue,casual,blue,,white,short,clothes,4,8,no,17.0,10.0,1.0,Wednesday,Morning,1,25.8,25.8,23.2,85.52,0.0,0.0,,31.7,1.8,118.0,1010.5,99.8,1.0,166.1,0.6,2.0,Overcast
chinese,,moderate,54.0,no,no_kids,big,,,blue,short_sleeve,,long,clothes,3,7,no,53.0,14.0,3.0,Wednesday,Morning,0,25.5,25.5,23.4,88.41,0.0,0.0,,31.7,1.1,91.0,1010.7,100.0,0.6,173.0,0.6,2.0,Overcast
chinese,,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11.0,18.0,2.0,Wednesday,Morning,1,30.1,35.1,23.9,69.76,0.0,0.0,,31.7,11.1,130.0,1011.4,89.1,3.0,672.8,2.4,7.0,Partially cloudy
malay,male,thin,32.0,no,,,,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12.0,9.0,2.0,Wednesday,Morning,1,31.0,36.5,24.0,66.38,0.0,0.0,,31.7,9.4,148.0,1011.4,91.6,1.6,766.8,2.8,8.0,Overcast
malay,,,29.0,no,,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,41.0,16.0,1.0,Wednesday,Morning,1,31.0,36.6,24.0,66.38,0.0,0.0,,31.7,9.4,140.0,1011.4,89.1,2.0,753.8,2.7,8.0,Partially cloudy
chinese,male,thin,40.0,no,,small,white,casual,red,short_sleeve,,long,clothes,3,9,yes,49.0,21.0,3.0,Wednesday,Afternoon,0,31.0,36.6,24.0,66.38,0.0,0.0,,31.7,9.4,140.0,1011.4,89.1,2.0,753.8,2.7,8.0,Partially cloudy
chinese,,thin,31.0,no,,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,25.0,10.0,3.0,Wednesday,Afternoon,1,31.0,36.6,24.0,66.38,0.0,0.0,,31.7,9.4,140.0,1011.4,89.1,2.0,753.8,2.7,8.0,Partially cloudy
malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27.0,7.0,2.0,Wednesday,Afternoon,1,32.0,37.5,23.6,61.28,0.0,0.0,,31.7,11.9,148.0,1011.4,91.6,2.2,775.8,2.8,8.0,Overcast
chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,,3,8,no,15.0,11.0,2.0,Wednesday,Afternoon,0,32.0,37.9,24.0,62.61,0.0,0.0,,31.7,11.2,159.0,1011.4,89.1,3.0,766.0,2.8,8.0,Partially cloudy
malay,female,thin,40.0,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60.0,21.0,1.0,Wednesday,Afternoon,1,32.0,37.5,23.6,61.28,0.0,0.0,,31.7,11.9,148.0,1011.4,91.6,2.2,775.8,2.8,8.0,Overcast
malay,male,moderate,40.0,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54.0,21.0,2.0,Wednesday,Afternoon,1,32.0,37.9,24.0,62.61,0.0,0.0,,31.7,11.2,159.0,1011.4,89.1,3.0,766.0,2.8,8.0,Partially cloudy
chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50.0,7.0,2.0,Wednesday,Afternoon,1,32.1,37.5,23.5,60.63,0.0,0.0,,31.7,13.7,160.0,1008.7,91.6,2.2,701.5,2.5,7.0,Overcast
malay,,,38.0,yes,toddler,big,white,casual,grey,,black,long,clothes,3,7,no,12.0,7.0,1.0,Wednesday,Afternoon,1,32.0,37.9,24.0,62.58,0.0,0.0,,31.7,12.9,159.0,1011.4,89.1,3.0,580.5,2.1,6.0,Partially cloudy
malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35.0,13.0,1.0,Wednesday,Afternoon,1,32.4,38.0,23.6,59.96,0.0,0.0,,31.7,11.6,145.0,1011.4,91.6,2.2,581.0,2.1,6.0,Overcast
chinese,female,thin,40.0,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45.0,19.0,1.0,Wednesday,Afternoon,1,32.4,38.0,23.6,59.96,0.0,0.0,,31.7,11.6,145.0,1011.4,91.6,2.2,581.0,2.1,6.0,Overcast
malay,female,,42.0,yes,toddler,big,blue,,purple,long sleeve,purple,long,blankets,4,8,,48.0,12.0,1.0,Wednesday,Afternoon,0,32.0,37.9,24.0,62.58,0.0,0.0,,31.7,12.9,159.0,1011.4,89.1,3.0,580.5,2.1,6.0,Partially cloudy
,,moderate,53.0,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,,14.0,12.0,2.0,Wednesday,Afternoon,1,31.5,37.1,24.0,64.46,0.0,0.0,,31.7,13.4,162.0,1007.4,91.6,3.0,224.1,0.8,2.0,Overcast
malay,female,fat,40.0,no,no_kids,big,,,brown,long sleeve,brown,long,clothes,6,8,no,15.0,17.0,1.0,Wednesday,Evening,0,28.9,33.3,23.8,73.96,0.0,0.0,,31.7,7.5,111.0,1009.2,89.1,3.0,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,,4,7,yes,26.0,16.0,2.0,Wednesday,Evening,1,28.9,33.3,23.8,73.96,0.0,0.0,,31.7,7.5,111.0,1009.2,89.1,3.0,0.0,1.3,0.0,Partially cloudy
indian,male,fat,49.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48.0,7.0,2.0,Wednesday,Evening,0,28.9,33.3,23.8,73.96,0.0,0.0,,31.7,7.5,111.0,1009.2,89.1,3.0,0.0,1.3,0.0,Partially cloudy
malay,male,thin,52.0,,no_kids,big,black,traditional,,long sleeve,brown,long,clothes,6,10,no,55.0,13.0,2.0,Wednesday,Night,1,28.0,32.0,24.0,78.88,0.0,0.0,,31.7,3.6,130.0,1011.4,89.1,4.0,0.0,1.3,0.0,Partially cloudy
malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,,43.0,18.0,1.0,Wednesday,Night,1,28.4,32.6,24.0,77.17,0.0,0.0,,31.7,3.6,138.0,1011.4,91.6,2.8,0.0,1.3,0.0,Overcast
chinese,male,moderate,34.0,,no_kids,big,blue,casual,,short_sleeve,red,short,clothes,5,9,yes,50.0,13.0,1.0,Wednesday,Night,1,28.0,32.0,24.0,78.88,0.0,0.0,,31.7,3.6,130.0,1011.4,89.1,4.0,0.0,1.3,0.0,Partially cloudy
indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46.0,14.0,2.0,Wednesday,Night,1,28.0,32.0,24.0,78.88,0.0,0.0,,31.7,3.6,130.0,1011.4,89.1,4.0,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46.0,14.0,1.0,Thursday,Morning,1,25.1,25.1,22.8,86.76,0.0,0.0,,31.7,5.3,50.0,1010.9,89.1,2.0,189.9,0.7,2.0,Partially cloudy
malay,female,fat,33.0,,no_kids,big,white,,blue,long sleeve,black,long,clothes,5,7,no,55.0,21.0,3.0,Thursday,Morning,1,27.0,29.8,23.4,80.63,0.0,0.0,,31.7,4.0,125.0,1011.4,91.6,2.6,414.3,1.5,4.0,Overcast
malay,female,,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58.0,9.0,3.0,Thursday,Morning,1,27.0,29.6,23.0,78.97,0.0,0.0,,31.7,5.3,63.0,1011.4,89.1,3.0,401.0,1.4,4.0,Partially cloudy
chinese,female,,40.0,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36.0,14.0,2.0,Thursday,Morning,0,29.0,32.8,23.0,70.23,0.0,0.0,,31.7,5.4,196.0,1011.4,89.1,3.0,613.3,2.2,6.0,Partially cloudy
